2  17727  100000
1  100000  100000
69980  54036  55160
16908  56047  55901
2  100000  100000
2  95820  100000
2  100000  100000
2  100000  100000
2028  65148  98493
2  100000  100000
2  61326  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  50692  100000
2  16008  100000
2  57097  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  100000  100000
10  99996  5337
2  100000  100000
2  805  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  18667  100000
11160  64280  93475
2  100000  100000
2  100000  100000
2  100000  100000
2  50677  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  23077  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  100000  100000
1  100000  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  100000  100000
1  100000  100000
2  100000  100000
2  100000  100000
2  98716  100000
2  100000  100000
2  74691  100000
1  100000  100000
2  100000  100000
1  100000  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  55212  100000
2  100000  100000
2  69331  100000
2  993  100000
2  35473  100000
65984  64398  63958
68249  14006  45341
2  50659  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  51521  100000
21594  62483  86857
2  88633  100000
2  54818  100000
44287  22764  2502
1  100000  100000
82677  42443  2539
95632  42  2497
2  100000  100000
2  100000  100000
118898  23099  28080
2  89134  100000
2  82687  100000
2  87498  100000
2  58612  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  1176  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  100000  100000
2  62954  100000
