2  100000 100000
2  86490 100000
2  100000 100000
2  100000 100000
46250  72663 73099
2  50659 100000
2  100000 100000
2  100000 100000
2  50696 100000
69204  37594 56185
2  100000 100000
2  100000 100000
2  100000 100000
102548  36595 35591
2  100000 100000
109116  35444 37327
31350  81782 81508
2  100000 100000
123145  11580 13698
2  45711 100000
2  75998 100000
2  100000 100000
102888  10635 13330
2  100000 100000
46498  72769 73109
2  29114 100000
2  100000 100000
2  100000 100000
2  100000 100000
2  48008 100000
2  100000 100000
2  17986 100000
2  100000 100000
2  51719 100000
153984  6701 2511
2  100000 100000
2  79115 100000
2  100000 100000
2  100000 100000
2  100000 100000
131320  1112 18197
2  100000 100000
2  99829 100000
2  100000 100000
47728  72063 72965
2  100000 100000
74204  54448 55618
31108  52766 81730
2  100000 100000
2  100000 100000
2  99719 100000
159220  4346 2498
2  100000 100000
2  81532 100000
2  100000 100000
135645  9080 10919
2  100000 100000
2  100000 100000
56186  64530 62603
43346  18968 26954
50824  60696 47505
2  100000 100000
2  100000 100000
137077  8901 9029
75046  53821 55248
63976  9941 7997
2  100000 100000
2  100000 100000
22  80298 5330
2  100000 100000
2  100000 100000
157734  4182 2842
2  100000 100000
144185  9406 2511
50278  68187 68605
19352  89063 89205
2  98333 100000
2  45368 100000
2  100000 100000
150750  5065 7375
2  100000 100000
2  25022 100000
2  46002 100000
34132  79320 79928
144336  13321 14051
2  100000 100000
2  100000 100000
2  100000 100000
2  100000 100000
2  100000 100000
2  100000 100000
2  100000 100000
110092  32389 33294
148769  3845 2493
2  100000 100000
2  100000 100000
2  100000 100000
2  100000 100000
2  100000 100000
2  100000 100000
